nohup: ignoring input
Namespace(adam_betas='(0.9, 0.997)', adam_eps=1e-09, adaptive_softmax_cutoff=None, amp=False, amp_level='O1', arch='transformer_wmt_en_de_big_t2t', attention_dropout=0.1, beam=4, bpe_codes=None, buffer_size=64, clip_norm=0.0, cpu=False, criterion='label_smoothed_cross_entropy', data='/data/wmt14_en_de_joined_dict', decoder_attention_heads=16, decoder_embed_dim=1024, decoder_embed_path=None, decoder_ffn_embed_dim=4096, decoder_layers=6, decoder_learned_pos=False, decoder_normalize_before=True, device_id=0, distributed_backend='nccl', distributed_init_method=None, distributed_port=-1, distributed_rank=0, distributed_world_size=1, do_sanity_check=False, dropout=0.1, enable_parallel_backward_allred_opt=False, enable_parallel_backward_allred_opt_correctness_check=False, encoder_attention_heads=16, encoder_embed_dim=1024, encoder_embed_path=None, encoder_ffn_embed_dim=4096, encoder_layers=6, encoder_learned_pos=False, encoder_normalize_before=True, fp16=False, fuse_dropout_add=False, fuse_layer_norm=True, fuse_relu_dropout=False, gen_subset='test', keep_interval_updates=-1, label_smoothing=0.1, left_pad_source=True, left_pad_target=False, lenpen=1, local_rank=0, log_interval=500, lr=[0.0006], lr_scheduler='inverse_sqrt', lr_shrink=0.1, max_epoch=1, max_len_a=0, max_len_b=200, max_positions=(1024, 1024), max_sentences=None, max_sentences_valid=None, max_source_positions=1024, max_target_positions=1024, max_tokens=2560, max_update=0, min_len=1, min_loss_scale=0.0001, min_lr=0.0, model_overrides='{}', momentum=0.99, nbest=1, no_beamable_mm=False, no_early_stop=False, no_epoch_checkpoints=False, no_save=False, no_token_positional_embeddings=False, num_shards=1, online_eval=False, optimizer='adam', pad_sequence=1, parallel_backward_allred_opt_threshold=0, path=None, prefix_size=0, print_alignment=False, profile=False, profiler_file=None, profiler_steps=100, quiet=False, raw_text=False, relu_dropout=0.1, remove_bpe=None, replace_unk=None, restore_file='checkpoint_last.pt', sampling=False, sampling_temperature=1, sampling_topk=-1, save_dir='/results/checkpoints', save_interval=1, save_interval_updates=0, save_predictions=False, score_reference=False, seed=1, sentence_avg=False, sentencepiece=False, shard_id=0, share_all_embeddings=True, share_decoder_input_output_embed=False, skip_invalid_size_inputs_valid_test=False, source_lang=None, stat_file='/results/run_log.json', target_bleu=0.0, target_lang=None, test_cased_bleu=False, train_subset='train', unkpen=0, unnormalized=False, update_freq=[1], valid_subset='valid', validate_interval=1, warmup_init_lr=0.0, warmup_updates=4000, weight_decay=0.0)
| [en] dictionary: 33712 types
| [de] dictionary: 33712 types
| /data/wmt14_en_de_joined_dict train 4575637 examples
| /data/wmt14_en_de_joined_dict valid 3000 examples
| /data/wmt14_en_de_joined_dict test 3003 examples
| num. model params: 210808832
| NOTICE: your device may support faster training with --amp
| model transformer_wmt_en_de_big_t2t, criterion LabelSmoothedCrossEntropyCriterion
| training on 1 GPUs
| max tokens per GPU = 2560 and max sentences per GPU = None
| Sentences are being padded to multiples of: 1
| Sentences are being padded to multiples of: 1
| Sentences are being padded to multiples of: 1
Transformer | epoch 0 | step 500 |avg loss 12.152 |avg tokens 2195.818 |tokens/s 8289.358 |walltime 142.634 |
Transformer | epoch 0 | step 1000 |avg loss 10.630 |avg tokens 2202.080 |tokens/s 8228.213 |walltime 276.447 |
Transformer | epoch 0 | step 1500 |avg loss 9.917 |avg tokens 2206.962 |tokens/s 8312.206 |walltime 409.201 |
Transformer | epoch 0 | step 2000 |avg loss 9.383 |avg tokens 2171.184 |tokens/s 8177.711 |walltime 541.951 |
Transformer | epoch 0 | step 2500 |avg loss 8.994 |avg tokens 2185.496 |tokens/s 8263.584 |walltime 674.188 |
Transformer | epoch 0 | step 3000 |avg loss 8.660 |avg tokens 2204.280 |tokens/s 8301.811 |walltime 806.947 |
Transformer | epoch 0 | step 3500 |avg loss 8.411 |avg tokens 2195.928 |tokens/s 8263.810 |walltime 939.811 |
Transformer | epoch 0 | step 4000 |avg loss 8.222 |avg tokens 2206.462 |tokens/s 8299.936 |walltime 1072.731 |
Transformer | epoch 0 | step 4500 |avg loss 8.082 |avg tokens 2182.408 |tokens/s 8276.575 |walltime 1204.574 |
Transformer | epoch 0 | step 5000 |avg loss 7.891 |avg tokens 2192.006 |tokens/s 8297.123 |walltime 1336.668 |
Transformer | epoch 0 | step 5500 |avg loss 7.858 |avg tokens 2150.818 |tokens/s 8207.926 |walltime 1467.689 |
Transformer | epoch 0 | step 6000 |avg loss 7.723 |avg tokens 2184.456 |tokens/s 8273.980 |walltime 1599.697 |
Transformer | epoch 0 | step 6500 |avg loss 7.624 |avg tokens 2188.844 |tokens/s 8280.595 |walltime 1731.864 |
Transformer | epoch 0 | step 7000 |avg loss 7.616 |avg tokens 2169.096 |tokens/s 8213.447 |walltime 1863.909 |
Transformer | epoch 0 | step 7500 |avg loss 7.600 |avg tokens 2200.412 |tokens/s 8328.036 |walltime 1996.018 |
Transformer | epoch 0 | step 8000 |avg loss 7.586 |avg tokens 2179.380 |tokens/s 8275.324 |walltime 2127.697 |
Transformer | epoch 0 | step 8500 |avg loss 7.550 |avg tokens 2201.336 |tokens/s 8306.888 |walltime 2260.198 |
Transformer | epoch 0 | step 9000 |avg loss 7.437 |avg tokens 2186.126 |tokens/s 8228.255 |walltime 2393.040 |
Transformer | epoch 0 | step 9500 |avg loss 7.460 |avg tokens 2194.148 |tokens/s 8258.480 |walltime 2525.883 |
Transformer | epoch 0 | step 10000 |avg loss 7.474 |avg tokens 2192.180 |tokens/s 8247.883 |walltime 2658.776 |
Transformer | epoch 0 | step 10500 |avg loss 7.507 |avg tokens 2149.200 |tokens/s 8153.027 |walltime 2790.580 |
Transformer | epoch 0 | step 11000 |avg loss 7.589 |avg tokens 2169.804 |tokens/s 8250.802 |walltime 2922.070 |
Transformer | epoch 0 | step 11500 |avg loss 7.571 |avg tokens 2169.048 |tokens/s 8224.166 |walltime 3053.941 |
Transformer | epoch 0 | step 12000 |avg loss 7.559 |avg tokens 2196.918 |tokens/s 8321.068 |walltime 3185.950 |
Transformer | epoch 0 | step 12500 |avg loss 7.508 |avg tokens 2182.824 |tokens/s 8205.070 |walltime 3318.967 |
Transformer | epoch 0 | step 13000 |avg loss 7.531 |avg tokens 2203.356 |tokens/s 8294.488 |walltime 3451.788 |
